id,scope,level1,level2,level3,level4,level5,unitOfMeasurement,greenHouseGas,greenHouseGasEmissionFactor,yearOfData,yearOfRelease,reference,referenceFile,notes
168,Scope 1,Bioenergy,Biogas,Biogas,,,kWh,kg CO2e,0.00023,2024,2024,"DESNZ, UK, 2024",13,
169,Scope 1,Bioenergy,Biogas,Landfill gas,,,tonnes,kg CO2e,0.69619,2024,2024,"DESNZ, UK, 2024",13,
170,Scope 1,Refrigerant and other,Kyoto protocol products,Carbon dioxide,,,kg,kg CO2e,1,2024,2024,"DESNZ, UK, 2024",13,
171,Scope 1,Refrigerant and other,Kyoto protocol products,Methane,,,kg,kg CO2e,28,2024,2024,"DESNZ, UK, 2024",13,
172,Scope 1,Refrigerant and other,Kyoto protocol products,Nitrous oxide,,,kg,kg CO2e,265,2024,2024,"DESNZ, UK, 2024",13,
173,Scope 1,Refrigerant and other,Kyoto protocol products,HFC-23,,,kg,kg CO2e,12400,2024,2024,"DESNZ, UK, 2024",13,
174,Scope 1,Refrigerant and other,Kyoto protocol products,HFC-32,,,kg,kg CO2e,677,2024,2024,"DESNZ, UK, 2024",13,
175,Scope 1,Refrigerant and other,Kyoto protocol products,HFC-41,,,kg,kg CO2e,116,2024,2024,"DESNZ, UK, 2024",13,
176,Scope 1,Refrigerant and other,Kyoto protocol products,HFC-125,,,kg,kg CO2e,3170,2024,2024,"DESNZ, UK, 2024",13,
177,Scope 1,Refrigerant and other,Kyoto protocol products,HFC-134,,,kg,kg CO2e,1120,2024,2024,"DESNZ, UK, 2024",13,
178,Scope 1,Refrigerant and other,Kyoto protocol products,HFC-134a,,,kg,kg CO2e,1300,2024,2024,"DESNZ, UK, 2024",13,
179,Scope 1,Refrigerant and other,Kyoto protocol products,HFC-143,,,kg,kg CO2e,328,2024,2024,"DESNZ, UK, 2024",13,
180,Scope 1,Refrigerant and other,Kyoto protocol products,HFC-143a,,,kg,kg CO2e,4800,2024,2024,"DESNZ, UK, 2024",13,
181,Scope 1,Refrigerant and other,Kyoto protocol products,HFC-152a,,,kg,kg CO2e,138,2024,2024,"DESNZ, UK, 2024",13,
182,Scope 1,Refrigerant and other,Kyoto protocol products,HFC-227ea,,,kg,kg CO2e,3350,2024,2024,"DESNZ, UK, 2024",13,
183,Scope 1,Refrigerant and other,Kyoto protocol products,HFC-236fa,,,kg,kg CO2e,8060,2024,2024,"DESNZ, UK, 2024",13,
184,Scope 1,Refrigerant and other,Kyoto protocol products,HFC-245fa,,,kg,kg CO2e,858,2024,2024,"DESNZ, UK, 2024",13,
185,Scope 1,Refrigerant and other,Kyoto protocol products,HFC-43-I0mee,,,kg,kg CO2e,1650,2024,2024,"DESNZ, UK, 2024",13,
